	token	경주빈도	전주빈도	빈도합	전주비율	경주비율
75	불국사	35	0	35	0.00%	100.00%
76	비용	0	35	35	100.00%	0.00%
77	도착	25	10	35	28.57%	71.43%
78	동궁	33	0	33	0.00%	100.00%
79	부모	10	23	33	69.70%	30.30%
80	감사	0	33	33	100.00%	0.00%
81	체험	10	23	33	69.70%	30.30%
82	어머니	26	5	31	16.13%	83.87%
83	가격	10	21	31	67.74%	32.26%
84	아들	30	0	30	0.00%	100.00%
85	전라도	0	30	30	100.00%	0.00%
86	정보	10	20	30	66.67%	33.33%
87	기차	10	20	30	66.67%	33.33%
88	거리	10	20	30	66.67%	33.33%
89	포항	15	15	30	50.00%	50.00%
90	수목원	0	30	30	100.00%	0.00%
91	호텔	9	21	30	70.00%	30.00%
92	박물관	15	15	30	50.00%	50.00%
93	가요	20	9	29	31.03%	68.97%
94	처음	18	10	28	35.71%	64.29%
95	소개	28	0	28	0.00%	100.00%
96	남부	0	26	26	100.00%	0.00%
97	국립	15	10	25	40.00%	60.00%
98	학년	15	10	25	40.00%	60.00%
99	지도	25	0	25	0.00%	100.00%
100	서울	10	15	25	60.00%	40.00%
101	도보	20	5	25	20.00%	80.00%
102	도시	20	5	25	20.00%	80.00%
103	위주	15	10	25	40.00%	60.00%
104	루트	25	0	25	0.00%	100.00%
105	확인	20	5	25	20.00%	80.00%
106	강아지	0	25	25	100.00%	0.00%
107	하루	20	5	25	20.00%	80.00%
108	첨부	20	5	25	20.00%	80.00%
109	생각	15	10	25	40.00%	60.00%
110	고등학생	20	5	25	20.00%	80.00%
111	볼거리	15	10	25	40.00%	60.00%
112	야경	18	6	24	25.00%	75.00%
113	명소	15	9	24	37.50%	62.50%
114	필요	7	15	22	68.18%	31.82%
115	특별	22	0	22	0.00%	100.00%
116	경비	6	15	21	71.43%	28.57%
117	얼마	5	16	21	76.19%	23.81%
118	교통편	20	0	20	0.00%	100.00%
119	렌트카	10	10	20	50.00%	50.00%
120	반려	10	10	20	50.00%	50.00%
121	동반	10	10	20	50.00%	50.00%
122	동안	20	0	20	0.00%	100.00%
123	게스트	15	5	20	25.00%	75.00%
124	다음	10	10	20	50.00%	50.00%
125	석굴암	20	0	20	0.00%	100.00%
126	추석	5	15	20	75.00%	25.00%
127	포함	5	15	20	75.00%	25.00%
128	한복	5	15	20	75.00%	25.00%
129	시내	20	0	20	0.00%	100.00%
130	요소	5	15	20	75.00%	25.00%
131	실패	20	0	20	0.00%	100.00%
132	초등	10	10	20	50.00%	50.00%
133	향교	0	20	20	100.00%	0.00%
134	채택	15	5	20	25.00%	75.00%
135	한국	10	10	20	50.00%	50.00%
136	평일	15	5	20	25.00%	75.00%
137	월드	20	0	20	0.00%	100.00%
138	예약	15	5	20	25.00%	75.00%
139	하우스	15	5	20	25.00%	75.00%
140	대부분	5	15	20	75.00%	25.00%
141	산책	0	20	20	100.00%	0.00%
142	시절	15	5	20	25.00%	75.00%
143	경험	15	5	20	25.00%	75.00%
144	부산	15	5	20	25.00%	75.00%
145	완산구	0	19	19	100.00%	0.00%
146	대릉원	18	0	18	0.00%	100.00%
147	블로그	13	5	18	27.78%	72.22%
148	저녁	5	13	18	72.22%	27.78%
149	오후	10	7	17	41.18%	58.82%
150	마음	17	0	17	0.00%	100.00%
151	선택	15	2	17	11.76%	88.24%
152	토요일	5	12	17	70.59%	29.41%
153	오전	10	6	16	37.50%	62.50%
154	바닷가	6	10	16	62.50%	37.50%
155	음식	0	16	16	100.00%	0.00%
156	경기전	0	15	15	100.00%	0.00%
157	고등학교	0	15	15	100.00%	0.00%
158	교통	0	15	15	100.00%	0.00%
159	조언	10	5	15	33.33%	66.67%
160	친정	10	5	15	33.33%	66.67%
161	구경	0	15	15	100.00%	0.00%
162	방법	0	15	15	100.00%	0.00%
163	벽화	0	15	15	100.00%	0.00%
164	자동차	0	15	15	100.00%	0.00%
165	진행	0	15	15	100.00%	0.00%
166	보문	15	0	15	0.00%	100.00%
167	블로거	10	5	15	33.33%	66.67%
168	인근	10	5	15	33.33%	66.67%
169	검색	10	5	15	33.33%	66.67%
170	빌라	15	0	15	0.00%	100.00%
171	빵집	15	0	15	0.00%	100.00%
172	신라	15	0	15	0.00%	100.00%
173	여유	15	0	15	0.00%	100.00%
174	예보	15	0	15	0.00%	100.00%
175	주신	15	0	15	0.00%	100.00%
176	주요	15	0	15	0.00%	100.00%
177	천마총	15	0	15	0.00%	100.00%
178	남산	15	0	15	0.00%	100.00%
179	플레이스	15	0	15	0.00%	100.00%
180	할머니	15	0	15	0.00%	100.00%
181	기본	5	10	15	66.67%	33.33%
182	가을	10	5	15	33.33%	66.67%
183	바다	5	10	15	66.67%	33.33%
184	의견	10	5	15	33.33%	66.67%
185	고민	15	0	15	0.00%	100.00%
186	예상	5	10	15	66.67%	33.33%
187	경주역	15	0	15	0.00%	100.00%
188	자차	5	10	15	66.67%	33.33%
189	말씀	10	5	15	33.33%	66.67%
190	맞춤	10	5	15	33.33%	66.67%
191	전통	5	10	15	66.67%	33.33%
192	점심	5	10	15	66.67%	33.33%
193	경북	15	0	15	0.00%	100.00%
194	분위기	10	5	15	33.33%	66.67%
195	최소한	5	10	15	66.67%	33.33%
196	가이드	15	0	15	0.00%	100.00%
197	실내	10	5	15	33.33%	66.67%
198	교통비	5	10	15	66.67%	33.33%
199	내공	5	9	14	64.29%	35.71%
200	중순	9	5	14	35.71%	64.29%
201	덕진구	0	14	14	100.00%	0.00%
202	남편	14	0	14	0.00%	100.00%
203	쭈니	8	5	13	38.46%	61.54%
204	정리	1	11	12	91.67%	8.33%
205	시외버스	5	7	12	58.33%	41.67%
206	학생	7	5	12	41.67%	58.33%
207	금요일	0	12	12	100.00%	0.00%
208	관람	11	0	11	0.00%	100.00%
209	문자	6	5	11	45.45%	54.55%
210	숙박	1	10	11	90.91%	9.09%
211	전시회	0	10	10	100.00%	0.00%
212	지역	0	10	10	100.00%	0.00%
213	초코파이	0	10	10	100.00%	0.00%
214	최고봉	0	10	10	100.00%	0.00%
215	커플	0	10	10	100.00%	0.00%
216	아침	5	5	10	50.00%	50.00%
217	날짜	5	5	10	50.00%	50.00%
218	지난주	0	10	10	100.00%	0.00%
219	한국도로공사	0	10	10	100.00%	0.00%
220	시대	5	5	10	50.00%	50.00%
221	생활	5	5	10	50.00%	50.00%
222	자만	0	10	10	100.00%	0.00%
223	사이트	5	5	10	50.00%	50.00%
224	방학	5	5	10	50.00%	50.00%
225	호수	0	10	10	100.00%	0.00%
226	미술관	5	5	10	50.00%	50.00%
227	문제	5	5	10	50.00%	50.00%
228	대표	5	5	10	50.00%	50.00%
229	대여	5	5	10	50.00%	50.00%
230	전동성당	0	10	10	100.00%	0.00%
231	이상	0	10	10	100.00%	0.00%
232	제시	5	5	10	50.00%	50.00%
233	소리	0	10	10	100.00%	0.00%
234	고려	0	10	10	100.00%	0.00%
235	난장	0	10	10	100.00%	0.00%
236	랜드	0	10	10	100.00%	0.00%
237	무리	0	10	10	100.00%	0.00%
238	복귀	0	10	10	100.00%	0.00%
239	비빔	0	10	10	100.00%	0.00%
240	사진	0	10	10	100.00%	0.00%
241	사투리	0	10	10	100.00%	0.00%
242	생략	0	10	10	100.00%	0.00%
243	수단	0	10	10	100.00%	0.00%
244	자가용	0	10	10	100.00%	0.00%
245	수원	0	10	10	100.00%	0.00%
246	순서	0	10	10	100.00%	0.00%
247	현대	5	5	10	50.00%	50.00%
248	안내	0	10	10	100.00%	0.00%
249	연령	0	10	10	100.00%	0.00%
250	영화제	0	10	10	100.00%	0.00%
251	완주	0	10	10	100.00%	0.00%
252	이벤트	0	10	10	100.00%	0.00%
253	중간	5	5	10	50.00%	50.00%
254	크리스마스	0	10	10	100.00%	0.00%
255	입장료	5	5	10	50.00%	50.00%
256	황동	10	0	10	0.00%	100.00%
257	문화재	10	0	10	0.00%	100.00%
258	엑스포	10	0	10	0.00%	100.00%
259	어사이즈	10	0	10	0.00%	100.00%
260	어머님	10	0	10	0.00%	100.00%
261	어르신	10	0	10	0.00%	100.00%
262	양남	10	0	10	0.00%	100.00%
263	애인	10	0	10	0.00%	100.00%
264	시기	10	0	10	0.00%	100.00%
265	사월	10	0	10	0.00%	100.00%
266	본인	10	0	10	0.00%	100.00%
267	보문관광단지	10	0	10	0.00%	100.00%
268	대접	10	0	10	0.00%	100.00%
269	교동	5	5	10	50.00%	50.00%
270	대상	10	0	10	0.00%	100.00%
271	단지	10	0	10	0.00%	100.00%
272	다면	10	0	10	0.00%	100.00%
273	느낌	10	0	10	0.00%	100.00%
274	기상	10	0	10	0.00%	100.00%
275	궁원	10	0	10	0.00%	100.00%
276	경주로	10	0	10	0.00%	100.00%
277	책자	10	0	10	0.00%	100.00%
278	계절	5	5	10	50.00%	50.00%
279	고속버스	5	5	10	50.00%	50.00%
280	여성	10	0	10	0.00%	100.00%
281	오푸스	10	0	10	0.00%	100.00%
282	요금	10	0	10	0.00%	100.00%
283	요번	10	0	10	0.00%	100.00%
284	초보	10	0	10	0.00%	100.00%
285	최적	10	0	10	0.00%	100.00%
286	출발	10	0	10	0.00%	100.00%
287	캐리	10	0	10	0.00%	100.00%
288	캐리어	10	0	10	0.00%	100.00%
289	쿠지	10	0	10	0.00%	100.00%
290	패딩	10	0	10	0.00%	100.00%
291	편안	10	0	10	0.00%	100.00%
292	황남빵	10	0	10	0.00%	100.00%
293	중요	10	0	10	0.00%	100.00%
294	황성	10	0	10	0.00%	100.00%
295	중앙	10	0	10	0.00%	100.00%
296	주제	10	0	10	0.00%	100.00%
297	주상	10	0	10	0.00%	100.00%
298	가실	5	5	10	50.00%	50.00%
299	조절	10	0	10	0.00%	100.00%
300	정복	10	0	10	0.00%	100.00%
301	절리	10	0	10	0.00%	100.00%
302	저번	10	0	10	0.00%	100.00%
303	인원	10	0	10	0.00%	100.00%
304	위치	10	0	10	0.00%	100.00%
305	관심	5	5	10	50.00%	50.00%
306	초등학생	10	0	10	0.00%	100.00%
307	그때	5	5	10	50.00%	50.00%
308	기간	5	5	10	50.00%	50.00%
309	예산	4	5	9	55.56%	44.44%
310	황남	9	0	9	0.00%	100.00%
311	목대	0	9	9	100.00%	0.00%
312	기차표	4	5	9	55.56%	44.44%
313	음식점	0	9	9	100.00%	0.00%
314	추가	0	9	9	100.00%	0.00%
315	첫날	9	0	9	0.00%	100.00%
316	상황	3	5	8	62.50%	37.50%
317	정교	8	0	8	0.00%	100.00%
318	운영	8	0	8	0.00%	100.00%
319	부족	8	0	8	0.00%	100.00%
320	자연	5	2	7	28.57%	71.43%
321	경관	5	2	7	28.57%	71.43%
322	감성	6	0	6	0.00%	100.00%
323	에서	6	0	6	0.00%	100.00%
324	내용	5	1	6	16.67%	83.33%
325	편리	1	5	6	83.33%	16.67%
326	여학생	0	6	6	100.00%	0.00%
327	그램	0	5	5	100.00%	0.00%
328	가보세요	0	5	5	100.00%	0.00%
329	건물	0	5	5	100.00%	0.00%
330	걱정	0	5	5	100.00%	0.00%
331	거북	0	5	5	100.00%	0.00%
332	갤러리	0	5	5	100.00%	0.00%
333	가운데	0	5	5	100.00%	0.00%
334	기회	0	5	5	100.00%	0.00%
335	결제	0	5	5	100.00%	0.00%
336	김선용	0	5	5	100.00%	0.00%
337	내부	0	5	5	100.00%	0.00%
338	내외	0	5	5	100.00%	0.00%
339	주목적	0	5	5	100.00%	0.00%
340	다랭이	0	5	5	100.00%	0.00%
341	결정	0	5	5	100.00%	0.00%
342	기지	0	5	5	100.00%	0.00%
343	기프	0	5	5	100.00%	0.00%
344	관광공사	0	5	5	100.00%	0.00%
345	기관	0	5	5	100.00%	0.00%
346	군산	0	5	5	100.00%	0.00%
347	구용	0	5	5	100.00%	0.00%
348	교통수단	0	5	5	100.00%	0.00%
349	교육	0	5	5	100.00%	0.00%
350	광주	0	5	5	100.00%	0.00%
351	주문	0	5	5	100.00%	0.00%
352	금액	0	5	5	100.00%	0.00%
353	공용	0	5	5	100.00%	0.00%
354	공연	0	5	5	100.00%	0.00%
355	공방	0	5	5	100.00%	0.00%
356	공간	0	5	5	100.00%	0.00%
357	고궁	0	5	5	100.00%	0.00%
358	경로	0	5	5	100.00%	0.00%
359	공장	0	5	5	100.00%	0.00%
360	중식	0	5	5	100.00%	0.00%
361	주박	0	5	5	100.00%	0.00%
362	주변	0	5	5	100.00%	0.00%
363	평점	0	5	5	100.00%	0.00%
364	플랫	0	5	5	100.00%	0.00%
365	피큐어	0	5	5	100.00%	0.00%
366	하늘	0	5	5	100.00%	0.00%
367	하트	0	5	5	100.00%	0.00%
368	한정식	0	5	5	100.00%	0.00%
369	항목	0	5	5	100.00%	0.00%
370	해설	0	5	5	100.00%	0.00%
371	허락	0	5	5	100.00%	0.00%
372	현장	0	5	5	100.00%	0.00%
373	현재	0	5	5	100.00%	0.00%
374	현황	0	5	5	100.00%	0.00%
375	환급	0	5	5	100.00%	0.00%
376	회관	0	5	5	100.00%	0.00%
377	휴가	0	5	5	100.00%	0.00%
378	휴무	0	5	5	100.00%	0.00%
379	흐노	0	5	5	100.00%	0.00%
380	페스타	0	5	5	100.00%	0.00%
381	팔복	0	5	5	100.00%	0.00%
382	팀조	0	5	5	100.00%	0.00%
383	천차만별	0	5	5	100.00%	0.00%
384	주식	0	5	5	100.00%	0.00%
385	주이	0	5	5	100.00%	0.00%
386	주천	0	5	5	100.00%	0.00%
387	달인	0	5	5	100.00%	0.00%
388	중심	0	5	5	100.00%	0.00%
389	지방	0	5	5	100.00%	0.00%
390	지식	0	5	5	100.00%	0.00%
391	체증	0	5	5	100.00%	0.00%
392	트레	0	5	5	100.00%	0.00%
393	침대	0	5	5	100.00%	0.00%
394	케이블카	0	5	5	100.00%	0.00%
395	코로나	0	5	5	100.00%	0.00%
396	태교	0	5	5	100.00%	0.00%
397	테마	0	5	5	100.00%	0.00%
398	토종	0	5	5	100.00%	0.00%
399	통상	0	5	5	100.00%	0.00%
400	다윈	0	5	5	100.00%	0.00%
401	전주식	0	5	5	100.00%	0.00%
402	전주시	0	5	5	100.00%	0.00%
403	에도	0	5	5	100.00%	0.00%
404	왕복	0	5	5	100.00%	0.00%
405	오픈	0	5	5	100.00%	0.00%
406	예약금	0	5	5	100.00%	0.00%
407	예술	0	5	5	100.00%	0.00%
408	연인	0	5	5	100.00%	0.00%
409	연못	0	5	5	100.00%	0.00%
410	연극	0	5	5	100.00%	0.00%
411	여행지	0	5	5	100.00%	0.00%
412	여행객	0	5	5	100.00%	0.00%
413	억양	0	5	5	100.00%	0.00%
414	답장	0	5	5	100.00%	0.00%
415	양식	0	5	5	100.00%	0.00%
416	애견	0	5	5	100.00%	0.00%
417	알짜배기	0	5	5	100.00%	0.00%
418	실시간	0	5	5	100.00%	0.00%
419	식비	0	5	5	100.00%	0.00%
420	시설	0	5	5	100.00%	0.00%
421	스토리	0	5	5	100.00%	0.00%
422	스타	0	5	5	100.00%	0.00%
423	스로	0	5	5	100.00%	0.00%
424	정감	0	5	5	100.00%	0.00%
425	요약	0	5	5	100.00%	0.00%
426	요일	0	5	5	100.00%	0.00%
427	욕조	0	5	5	100.00%	0.00%
428	전주비빔밥	0	5	5	100.00%	0.00%
429	전주국	0	5	5	100.00%	0.00%
430	전일	0	5	5	100.00%	0.00%
431	전망	0	5	5	100.00%	0.00%
432	전라북도	0	5	5	100.00%	0.00%
433	전라	0	5	5	100.00%	0.00%
434	장단점	0	5	5	100.00%	0.00%
435	일식	0	5	5	100.00%	0.00%
436	일반	0	5	5	100.00%	0.00%
437	인당	0	5	5	100.00%	0.00%
438	이동은	0	5	5	100.00%	0.00%
439	의외	0	5	5	100.00%	0.00%
440	음료	0	5	5	100.00%	0.00%
441	유적지	0	5	5	100.00%	0.00%
442	유명	0	5	5	100.00%	0.00%
443	전통문화	0	5	5	100.00%	0.00%
444	웨이팅	0	5	5	100.00%	0.00%
445	월요일	0	5	5	100.00%	0.00%
446	운송	0	5	5	100.00%	0.00%
447	슈퍼	0	5	5	100.00%	0.00%
448	술값	0	5	5	100.00%	0.00%
449	수학	0	5	5	100.00%	0.00%
450	변호사	0	5	5	100.00%	0.00%
451	법률	0	5	5	100.00%	0.00%
452	방지	0	5	5	100.00%	0.00%
453	반양	0	5	5	100.00%	0.00%
454	물관	0	5	5	100.00%	0.00%
455	문의	0	5	5	100.00%	0.00%
456	명품	0	5	5	100.00%	0.00%
457	마감	0	5	5	100.00%	0.00%
458	리의	0	5	5	100.00%	0.00%
459	려인	0	5	5	100.00%	0.00%
460	라면	0	5	5	100.00%	0.00%
461	동물	0	5	5	100.00%	0.00%
462	독일	0	5	5	100.00%	0.00%
463	도로공사	0	5	5	100.00%	0.00%
464	데이트	0	5	5	100.00%	0.00%
465	더클래식	0	5	5	100.00%	0.00%
466	대학	0	5	5	100.00%	0.00%
467	대옥	0	5	5	100.00%	0.00%
468	대둔산	0	5	5	100.00%	0.00%
469	당장	0	5	5	100.00%	0.00%
470	변호	0	5	5	100.00%	0.00%
471	보리암	0	5	5	100.00%	0.00%
472	수정	0	5	5	100.00%	0.00%
473	보통	0	5	5	100.00%	0.00%
474	수구	0	5	5	100.00%	0.00%
475	소요	0	5	5	100.00%	0.00%
476	소속	0	5	5	100.00%	0.00%
477	세일	0	5	5	100.00%	0.00%
478	세염	0	5	5	100.00%	0.00%
479	성미	0	5	5	100.00%	0.00%
480	선착순	0	5	5	100.00%	0.00%
481	서신동	0	5	5	100.00%	0.00%
482	생일	0	5	5	100.00%	0.00%
483	새만금	0	5	5	100.00%	0.00%
484	상당	0	5	5	100.00%	0.00%
485	조선	0	5	5	100.00%	0.00%
486	조정	0	5	5	100.00%	0.00%
487	상담	0	5	5	100.00%	0.00%
488	사회	0	5	5	100.00%	0.00%
489	사용	0	5	5	100.00%	0.00%
490	불편	0	5	5	100.00%	0.00%
491	부분	0	5	5	100.00%	0.00%
492	주만	0	5	5	100.00%	0.00%
493	본점	0	5	5	100.00%	0.00%
494	나드리	5	0	5	0.00%	100.00%
495	낭비	5	0	5	0.00%	100.00%
496	아버지	5	0	5	0.00%	100.00%
497	열차	5	0	5	0.00%	100.00%
498	역하	5	0	5	0.00%	100.00%
499	여름	5	0	5	0.00%	100.00%
500	여동생	5	0	5	0.00%	100.00%
501	언덕	5	0	5	0.00%	100.00%
502	언니	5	0	5	0.00%	100.00%
503	어린애	5	0	5	0.00%	100.00%
504	어른	5	0	5	0.00%	100.00%
505	어려움	5	0	5	0.00%	100.00%
506	안내소	5	0	5	0.00%	100.00%
507	실행	5	0	5	0.00%	100.00%
508	예전	5	0	5	0.00%	100.00%
509	실제	5	0	5	0.00%	100.00%
510	신축	5	0	5	0.00%	100.00%
511	신상	5	0	5	0.00%	100.00%
512	신경주역	5	0	5	0.00%	100.00%
513	식사	5	0	5	0.00%	100.00%
514	식대	5	0	5	0.00%	100.00%
515	시티투어	5	0	5	0.00%	100.00%
516	시즌	5	0	5	0.00%	100.00%
517	구매	5	0	5	0.00%	100.00%
518	구성원	5	0	5	0.00%	100.00%
519	관광객	5	0	5	0.00%	100.00%
520	오랫동안	5	0	5	0.00%	100.00%
521	재미	5	0	5	0.00%	100.00%
522	이맘때	5	0	5	0.00%	100.00%
523	작품	5	0	5	0.00%	100.00%
524	작년	5	0	5	0.00%	100.00%
525	고택	5	0	5	0.00%	100.00%
526	가본적	5	0	5	0.00%	100.00%
527	자신	5	0	5	0.00%	100.00%
528	자녀	5	0	5	0.00%	100.00%
529	공부	5	0	5	0.00%	100.00%
530	입장	5	0	5	0.00%	100.00%
531	입실	5	0	5	0.00%	100.00%
532	이틀	5	0	5	0.00%	100.00%
533	의미	5	0	5	0.00%	100.00%
534	오릉	5	0	5	0.00%	100.00%
535	유산	5	0	5	0.00%	100.00%
536	월드컵	5	0	5	0.00%	100.00%
537	원릉	5	0	5	0.00%	100.00%
538	워터	5	0	5	0.00%	100.00%
539	움직임	5	0	5	0.00%	100.00%
540	우양	5	0	5	0.00%	100.00%
541	용시	5	0	5	0.00%	100.00%
542	요즘	5	0	5	0.00%	100.00%
543	공유	5	0	5	0.00%	100.00%
544	왕자	5	0	5	0.00%	100.00%
545	시내버스	5	0	5	0.00%	100.00%
546	술집	5	0	5	0.00%	100.00%
547	수학여행	5	0	5	0.00%	100.00%
548	독채	5	0	5	0.00%	100.00%
549	메뉴	5	0	5	0.00%	100.00%
550	먹거리	5	0	5	0.00%	100.00%
551	매일	5	0	5	0.00%	100.00%
552	마지막	5	0	5	0.00%	100.00%
553	리조트	5	0	5	0.00%	100.00%
554	리스트	5	0	5	0.00%	100.00%
555	로또	5	0	5	0.00%	100.00%
556	렌터카	5	0	5	0.00%	100.00%
557	랜드마크	5	0	5	0.00%	100.00%
558	동굴	5	0	5	0.00%	100.00%
559	도보이	5	0	5	0.00%	100.00%
560	수면	5	0	5	0.00%	100.00%
561	대한민국	5	0	5	0.00%	100.00%
562	기림사	5	0	5	0.00%	100.00%
563	기반	5	0	5	0.00%	100.00%
564	기상청	5	0	5	0.00%	100.00%
565	대명	5	0	5	0.00%	100.00%
566	대공원	5	0	5	0.00%	100.00%
567	뉴스	5	0	5	0.00%	100.00%
568	네이버	5	0	5	0.00%	100.00%
569	내년	5	0	5	0.00%	100.00%
570	기온	5	0	5	0.00%	100.00%
571	무열왕릉	5	0	5	0.00%	100.00%
572	밀면	5	0	5	0.00%	100.00%
573	그동안	5	0	5	0.00%	100.00%
574	바람	5	0	5	0.00%	100.00%
575	세영	5	0	5	0.00%	100.00%
576	성수기	5	0	5	0.00%	100.00%
577	선배	5	0	5	0.00%	100.00%
578	구체	5	0	5	0.00%	100.00%
579	새벽	5	0	5	0.00%	100.00%
580	사지	5	0	5	0.00%	100.00%
581	군요	5	0	5	0.00%	100.00%
582	빙판길	5	0	5	0.00%	100.00%
583	비피	5	0	5	0.00%	100.00%
584	비추	5	0	5	0.00%	100.00%
585	불안	5	0	5	0.00%	100.00%
586	분황사	5	0	5	0.00%	100.00%
587	부처	5	0	5	0.00%	100.00%
588	부부	5	0	5	0.00%	100.00%
589	봄바람	5	0	5	0.00%	100.00%
590	벚꽃	5	0	5	0.00%	100.00%
591	법주	5	0	5	0.00%	100.00%
592	배달	5	0	5	0.00%	100.00%
593	궁터	5	0	5	0.00%	100.00%
594	바탕	5	0	5	0.00%	100.00%
595	바베큐	5	0	5	0.00%	100.00%
596	잔치국수	5	0	5	0.00%	100.00%
597	자전거	5	0	5	0.00%	100.00%
598	고요	5	0	5	0.00%	100.00%
599	결과	5	0	5	0.00%	100.00%
600	전남	5	0	5	0.00%	100.00%
601	한화	5	0	5	0.00%	100.00%
602	걸음	5	0	5	0.00%	100.00%
603	겨울	5	0	5	0.00%	100.00%
604	학교	5	0	5	0.00%	100.00%
605	필수	5	0	5	0.00%	100.00%
606	폴라로이드	5	0	5	0.00%	100.00%
607	포토	5	0	5	0.00%	100.00%
608	코트	5	0	5	0.00%	100.00%
609	평지	5	0	5	0.00%	100.00%
610	평상시	5	0	5	0.00%	100.00%
611	파크	5	0	5	0.00%	100.00%
612	토함산	5	0	5	0.00%	100.00%
613	경경	5	0	5	0.00%	100.00%
614	텍스	5	0	5	0.00%	100.00%
615	테마파크	5	0	5	0.00%	100.00%
616	해몽	5	0	5	0.00%	100.00%
617	행복	5	0	5	0.00%	100.00%
618	건강	5	0	5	0.00%	100.00%
619	현지인	5	0	5	0.00%	100.00%
620	가성	5	0	5	0.00%	100.00%
621	가시	5	0	5	0.00%	100.00%
622	가여	5	0	5	0.00%	100.00%
623	간식	5	0	5	0.00%	100.00%
624	감상	5	0	5	0.00%	100.00%
625	개별	5	0	5	0.00%	100.00%
626	개화	5	0	5	0.00%	100.00%
627	객실	5	0	5	0.00%	100.00%
628	흥미	5	0	5	0.00%	100.00%
629	휴식	5	0	5	0.00%	100.00%
630	황지	5	0	5	0.00%	100.00%
631	황룡	5	0	5	0.00%	100.00%
632	활용	5	0	5	0.00%	100.00%
633	활동	5	0	5	0.00%	100.00%
634	형편	5	0	5	0.00%	100.00%
635	콘도	5	0	5	0.00%	100.00%
636	해결책	5	0	5	0.00%	100.00%
637	컴퓨터	5	0	5	0.00%	100.00%
638	중학교	5	0	5	0.00%	100.00%
639	중반	5	0	5	0.00%	100.00%
640	경량	5	0	5	0.00%	100.00%
641	주머니	5	0	5	0.00%	100.00%
642	조화	5	0	5	0.00%	100.00%
643	조심	5	0	5	0.00%	100.00%
644	제외	5	0	5	0.00%	100.00%
645	조립식	5	0	5	0.00%	100.00%
646	조금	5	0	5	0.00%	100.00%
647	카테고리	5	0	5	0.00%	100.00%
